人行清算行号,银行名称
************,************
"308584000013	","招商银行"
"102100099996	","中国工商银行"
"103100000026	","中国农业银行"
"104100000004	","中国银行"
"105100000017	","中国建设银行"
"403100000004	","中国邮政储蓄银行"
"301290000007	","交通银行"
"302100011000	","中信银行"
"303100000006	","中国光大银行"
"304100040000	","华夏银行"
"305100000013	","中国民生银行"
"310290000013	","上海浦东发展银行"
"306581000003	","广发银行股份有限公司"
"307584007998	","平安银行（原深圳发展银行）"
"313335081005	","嘉兴银行清算中心"
"320345790018	","浙江三门银座村镇银行"
"313585000990	","珠海华润银行清算中心"
"313591001001	","广东南粤银行股份有限公司"
"313791030003	","长安银行"
"402241000015	","吉林农村信用社"
"402451000010	","山东省农联社"
"593100000020	","友利银行"
"309391000011	","兴业银行"
"313100000013	","北京银行"
"313110000017	","天津银行"
"313581003284	","广州银行"
"313602088017	","东莞银行"
"314581000011	","广州农村商业银行"
"314588000016	","顺德农村商业银行"
"317110010019	","天津农商银行"
"318110000014	","渤海银行"
"402100000018	","北京农村商业银行"
"402584009991	","深圳农商行"
"402602000018	","东莞农村商业银行"
"595100000007	","新韩银行中国"
"597100000014	","韩亚银行"
"313421087506	","南昌银行"
"313332082914	","宁波银行"
"313393080005	","厦门银行"
"313223007007	","鞍山市商业银行"
"402361018886	","安徽省农村信用社联合社"
"313227000012	","锦州银行"
"313452060150	","青岛银行"
"313433076801	","上饶银行"
"313453001017	","齐商银行"
"402332010004	","鄞州银行"
"313336071575	","湖州银行"
"313465000010	","威海市商业银行"
"313473200011	","日照银行"
"313456000108	","烟台银行"
"314305670002	","张家港农村商业银行"
"313463400019	","莱商银行"
"313331000014	","杭州银行"
"313463000993	","泰安市商业银行"
"313611001018	","广西北部湾银行"
"313455000018	","东营市商业银行"
"313461000012	","济宁银行"
"313551088886	","长沙银行"
"314305206650	","昆山农村商业银行"
"313338707013	","浙江稠州商业银行"
"316331000018	","浙商银行"
"313333007331	","温州银行"
"313222080002	","大连银行"
"313290000017	","上海银行"
"313345010019	","浙江泰隆商业银行"
"313473070018	","临商银行"
"313227600018	","葫芦岛银行"
"313391080007	","福建海峡银行"
"313881000002	","乌鲁木齐市商业银行"
"313205057830	","鄂尔多斯银行"
"313882000012	","昆仑银行"
"313614000012	","柳州银行"
"313504000010	","漯河市商业银行"
"313241066661	","吉林银行"
"313656000019	","攀枝花市商业银行"
"313521000011	","汉口银行"
"313229000008	","阜新银行结算中心"
"313261099913	","龙江银行"
"313127000013	","邯郸市商业银行"
"402301099998	","江苏省农村信用社联合社"
"313143005157	","沧州银行"
"402391000068	","福建省农村信用社"
"313261000018	","哈尔滨银行结算中心"
"313168000003	","晋城银行"
"596110000013	","企业银行"
"313659000016	","绵阳市商业银行"
"314305400015	","吴江农村商业银行"
"313192000013	","包商银行股份有限公司"
"313121006888	","河北银行股份有限公司"
"319361000013	","徽商银行"
"314305506621	","常熟农村商业银行"
"313851000018	","青海银行"
"402871099996	","黄河农村商业银行"
"314653000011	","重庆农村商业银行"
"313653000013	","重庆银行股份有限公司"
"402521000032	","湖北农信"
"313191000011	","内蒙古银行"
"315456000105	","恒丰银行"
"313161000017	","晋商银行网上银行"
"313301008887	","南京银行"
"313468000015	","德州银行"
"313821001016	","兰州银行股份有限公司"
"313513080408	","南阳银行股份有限公司"
"313492070005	","开封市商业银行"
"313658000014	","德阳银行"
"313345400010	","浙江民泰商业银行"
"313493080539	","洛阳银行"
"313337009004	","绍兴银行"
"313458000013	","潍坊银行"
"313228000276	","营口银行"
"313506082510	","商丘市商业银行"
"313138000019	","张家口市商业银行"
"313871000007	","宁夏银行"
"313491000232	","郑州银行"
"402641000014	","海南省农村信用社"
"313731010015	","富滇银行"
"313701098010	","贵阳银行"
"313428076517	","赣州银行"
"402611099974	","广西农村信用社（合作银行）"
"313345001665	","台州银行"
"313141052422	","承德银行"
"402731057238	","云南省农村信用社"
"313131000016	","邢台银行"
"313305066661	","苏州银行"
"313655091983	","自贡市商业银行清算中心"
"313617000018	","桂林银行股份有限公司"
"313451000019	","齐鲁银行"
"313586000006	","广东华兴银行"
"320687000016	","重庆黔江银座村镇银行"
"320653000104	","重庆渝北银座村镇银行"
"320428090311	","江西赣州银座村镇银行"
"320584002002	","深圳福田银座村镇银行"
"320100010011	","北京顺义银座村镇银行"
"320343800019	","浙江景宁银座村镇银行"
"313312300018	","江苏长江商行"
"314305106644	","太仓农商行"
"313791000015	","西安银行"
"314641000014	","海口联合农村商业银行"
"313454000016	","枣庄银行"
"313424076706	","九江银行股份有限公司"
"402651020006	","四川省联社"
"313521006000	","湖北银行"
"313491099996	","中原银行"
"322290000011	","上海农商银行"
"402331000007	","浙江省农村信用社"
"313146000019	","廊坊银行"
"313397075189	","泉州银行"
"313651099999	","成都银行"
"313673093259	","南充市商业银行"
"314302200018	","江阴农商银行"
"502290000006	","东亚银行（中国）有限公司"
